x,              µ, Ψm^(10)
3.60, 0.79667E+00, 0.00330
3.60, 0.96029E+00, 0.00776
3.80, -.96029E+00, 0.68182
3.80, -.79667E+00, 0.74547
3.80, -.52553E+00, 0.86631
3.80, -.18343E+00, 0.96085
3.80, 0.18343E+00, 0.00000
3.80, 0.52553E+00, 0.00025
3.80, 0.79667E+00, 0.00330
3.80, 0.96029E+00, 0.00776
4.00, -.96029E+00, 0.68182
4.00, -.79667E+00, 0.74547
4.00, -.52553E+00, 0.86631
4.00, -.18343E+00, 0.96085
4.00, 0.18343E+00, 0.00000
4.00, 0.52553E+00, 0.00025
4.00, 0.79667E+00, 0.00330
4.00, 0.96029E+00, 0.00776
4.20, -.96029E+00, 0.68182
4.20, -.79667E+00, 0.74547
4.20, -.52553E+00, 0.86631
4.20, -.18343E+00, 0.96085
4.20, 0.18343E+00, 0.00000
4.20, 0.52553E+00, 0.00025
4.20, 0.79667E+00, 0.00330
4.20, 0.96029E+00, 0.00776
4.40, -.96029E+00, 0.68182
4.40, -.79667E+00, 0.74547
4.40, -.52553E+00, 0.86631
4.40, -.18343E+00, 0.96085
4.40, 0.18343E+00, 0.00000
4.40, 0.52553E+00, 0.00025
4.40, 0.79667E+00, 0.00330
4.40, 0.96029E+00, 0.00776
4.60, -.96029E+00, 0.68182
4.60, -.79667E+00, 0.74547
4.60, -.52553E+00, 0.86631
4.60, -.18343E+00, 0.96085
4.60, 0.18343E+00, 0.00000
4.60, 0.52553E+00, 0.00025
4.60, 0.79667E+00, 0.00330
4.60, 0.96029E+00, 0.00776
4.80, -.96029E+00, 0.68182
4.80, -.79667E+00, 0.74547
4.80, -.52553E+00, 0.86631
4.80, -.18343E+00, 0.96085
4.80, 0.18343E+00, 0.00000
4.80, 0.52553E+00, 0.00025
4.80, 0.79667E+00, 0.00330
4.80, 0.96029E+00, 0.00776
5.00, -.96029E+00, 0.68182
5.00, -.79667E+00, 0.74547
5.00, -.52553E+00, 0.86631
5.00, -.18343E+00, 0.96085
5.00, 0.18343E+00, 0.00000
5.00, 0.52553E+00, 0.00025
5.00, 0.79667E+00, 0.00330
5.00, 0.96029E+00, 0.00776
5.20, -.96029E+00, 0.62521
5.20, -.79667E+00, 0.69386
5.20, -.52553E+00, 0.83852
5.20, -.18343E+00, 1.02908
5.20, 0.18343E+00, 0.61497
5.20, 0.52553E+00, 0.29337
5.20, 0.79667E+00, 0.20822
5.20, 0.96029E+00, 0.18046
5.40, -.96029E+00, 0.53102
5.40, -.79667E+00, 0.59736
5.40, -.52553E+00, 0.74891
5.40, -.18343E+00, 1.02328
5.40, 0.18343E+00, 0.89184
5.40, 0.52553E+00, 0.52717
5.40, 0.79667E+00, 0.39111
5.40, 0.96029E+00, 0.34056
5.60, -.96029E+00, 0.40641
5.60, -.79667E+00, 0.46271
5.60, -.52553E+00, 0.60058
5.60, -.18343E+00, 0.93257
5.60, 0.18343E+00, 1.00959
5.60, 0.52553E+00, 0.69874
5.60, 0.79667E+00, 0.54166
5.60, 0.96029E+00, 0.47756
5.80, -.96029E+00, 0.25739
5.80, -.79667E+00, 0.29512
5.80, -.52553E+00, 0.39247
5.80, -.18343E+00, 0.70069
5.80, 0.18343E+00, 1.03640
5.80, 0.52553E+00, 0.80991
5.80, 0.79667E+00, 0.65451
5.80, 0.96029E+00, 0.58518
6.00, -.96029E+00, 0.09325
6.00, -.79667E+00, 0.10359
6.00, -.52553E+00, 0.12673
6.00, -.18343E+00, 0.17610
6.00, 0.18343E+00, 0.98985
6.00, 0.52553E+00, 0.85941
6.00, 0.79667E+00, 0.72373
6.00, 0.96029E+00, 0.65683
6.20, -.96029E+00, 0.06803
6.20, -.79667E+00, 0.07545
6.20, -.52553E+00, 0.09178
6.20, -.18343E+00, 0.12455
6.20, 0.18343E+00, 0.46694
6.20, 0.52553E+00, 0.65138
6.20, 0.79667E+00, 0.60794
6.20, 0.96029E+00, 0.57135
6.40, -.96029E+00, 0.05123
6.40, -.79667E+00, 0.05687
6.40, -.52553E+00, 0.06917
6.40, -.18343E+00, 0.09286
6.40, 0.18343E+00, 0.25028
6.40, 0.52553E+00, 0.48970
6.40, 0.79667E+00, 0.50418
6.40, 0.96029E+00, 0.49036
6.60, -.96029E+00, 0.03906
6.60, -.79667E+00, 0.04348
6.60, -.52553E+00, 0.05315
6.60, -.18343E+00, 0.07130
6.60, 0.18343E+00, 0.15302
6.60, 0.52553E+00, 0.36755
6.60, 0.79667E+00, 0.41529
6.60, 0.96029E+00, 0.41768
6.80, -.96029E+00, 0.02975
6.80, -.79667E+00, 0.03327
6.80, -.52553E+00, 0.04105
6.80, -.18343E+00, 0.05558
6.80, 0.18343E+00, 0.10406
6.80, 0.52553E+00, 0.27630
6.80, 0.79667E+00, 0.34069
6.80, 0.96029E+00, 0.35405
7.00, -.96029E+00, 0.02236
7.00, -.79667E+00, 0.02516
7.00, -.52553E+00, 0.03151
7.00, -.18343E+00, 0.04358
7.00, 0.18343E+00, 0.07591
7.00, 0.52553E+00, 0.20836
7.00, 0.79667E+00, 0.27874
7.00, 0.96029E+00, 0.29908
7.20, -.96029E+00, 0.01634
7.20, -.79667E+00, 0.01854
7.20, -.52553E+00, 0.02369
7.20, -.18343E+00, 0.03411
7.20, 0.18343E+00, 0.05763
7.20, 0.52553E+00, 0.15772
7.20, 0.79667E+00, 0.22759
7.20, 0.96029E+00, 0.25194
7.40, -.96029E+00, 0.01131
7.40, -.79667E+00, 0.01297
7.40, -.52553E+00, 0.01703
7.40, -.18343E+00, 0.02630
7.40, 0.18343E+00, 0.04464
7.40, 0.52553E+00, 0.11985
7.40, 0.79667E+00, 0.18552
7.40, 0.96029E+00, 0.21173
7.60, -.96029E+00, 0.00701
7.60, -.79667E+00, 0.00814
7.60, -.52553E+00, 0.01109
7.60, -.18343E+00, 0.01925
7.60, 0.18343E+00, 0.03484
7.60, 0.52553E+00, 0.09137
7.60, 0.79667E+00, 0.15096
7.60, 0.96029E+00, 0.17754
7.80, -.96029E+00, 0.00327
7.80, -.79667E+00, 0.00386
7.80, -.52553E+00, 0.00550
7.80, -.18343E+00, 0.01153
7.80, 0.18343E+00, 0.02709
7.80, 0.52553E+00, 0.06978
7.80, 0.79667E+00, 0.12259
7.80, 0.96029E+00, 0.14852
