Time,Corrected Power,Doubling Time,Reactivity,Power Coefficient,Power Defect
31865,21.28030351,0,1.57295202,undefined,undefined
31866,21.34717359,1,0.14666701346342848,-21.329195456870234,-1.4262850065365715
31867,21.25361417,2,0.07691962090807895,0.7454876543200905,-0.06974739255534952
31868,21.34717359,3,0.05212948288825164,-0.26496677747496544,-0.024790138019827317
31869,21.42769511,4,0.039423749541484115,-0.15779301417519032,-0.012705733346767523
31870,21.42769511,5,0.03169789192441193,-0.15779301417519032,-0.012705733346767523
31871,21.45460306,6,0.026503927127508885,-0.1930271461372084,-0.005193964796903042
31872,21.69830022,7,0.022772467756410633,-0.01531187056549306,-0.0037314593710982523
31873,21.26695465,8,0.01996203441809013,0.006515502960469714,-0.0028104333383205046
31874,21.6032019,9,0.017769086604174835,-0.006521831223646577,-0.0021929478139152934
31875,21.3605728,10,0.016010264176973567,0.007249016821153268,-0.0017588224272012676
31876,21.45460306,11,0.014568265873180062,-0.01533547077072319,-0.0014419983037935059
31877,21.32040038,12,0.013364558634563336,0.008969323404098287,-0.0012037072386167252
31879,21.75282996,14,0.011469257163603476,-0.004382913562388254,-0.0018953014709598601
31880,21.90349438,15,0.010709846110740686,-0.005040414006590151,-0.0007594110528627904
31881,24.35387489,16,0.010044755246634606,-0.00027142350397901284,-0.0006650908641060801
31882,27.43756172,17,0.009457439909284505,-0.0001904588143116013,-0.0005873153373501007
31883,33.62325129,18,0.008935011143700822,-0.00008445764367442765,-0.0005224287655836834
31884,38.47955185,19,0.008467278852389709,-0.00009631452698041253,-0.00046773229131111255
31885,46.07244541,4,0.039423749541484115,0.00407703208855392,0.03095647068909441
31886,52.89250831,4,0.039423749541484115,0,0
31887,60.3801876,4,0.039423749541484115,0,0
31888,68.66883629,4,0.039423749541484115,0,0
31889,76.73518698,5,0.03169789192441193,-0.0009577884614724325,-0.007725857617072188
31890,88.8715394,5,0.03169789192441193,0,0
31891,97.03191329,5,0.03169789192441193,0,0
31892,110.1443786,5,0.03169789192441193,0,0
31893,122.2361327,5,0.03169789192441193,0,0
31895,134.4688478,7,0.022772467756410633,-0.0007296355792673778,-0.008925424168001295
31896,152.5446392,7,0.022772467756410633,0,0
31897,170.6777568,7,0.022772467756410633,0,0
31898,184.1412586,7,0.022772467756410633,0,0
31899,203.460836,7,0.022772467756410633,0,0
31900,224.6663541,7,0.022772467756410633,0,0
31901,247.1497502,6,0.026503927127508885,0.0001659651128549149,0.0037314593710982527
31902,270.5217636,6,0.026503927127508885,0,0
31903,309.9829386,6,0.026503927127508885,0,0
31904,340.7904738,7,0.022772467756410633,-0.0001211216459503796,-0.0037314593710982523
31905,386.3583614,6,0.026503927127508885,0.00008188791641722387,0.0037314593710982523
31906,417.3588128,6,0.026503927127508885,0,0
31907,471.9787292,6,0.026503927127508885,0,0
31908,519.2119015,6,0.026503927127508885,0,0
31910,586.7930911,7,0.022772467756410633,-0.000055214467119978776,-0.0037314593710982523
31911,660.6786501,7,0.022772467756410633,0,0
31912,728.1654443,7,0.022772467756410633,0,0
31913,789.0635219,7,0.022772467756410633,0,0
31914,903.0310362,7,0.022772467756410633,0,0
31915,985.949744,7,0.022772467756410633,0,0
31916,1112.884749,6,0.026503927127508885,0.000029396614205027612,0.0037314593710982523
31917,1244.393954,6,0.026503927127508885,0,0
31918,1375.815929,6,0.026503927127508885,0,0
31919,1516.352634,6,0.026503927127508885,0,0
31920,1645.232242,6,0.026503927127508885,0,0
31921,1871.08228,6,0.026503927127508885,0,0
31922,2113.298811,6,0.026503927127508885,0,0
31923,2278.572165,6,0.026503927127508885,0,0
31925,2578.388694,7,0.022772467756410633,-0.00001244580938730783,-0.0037314593710982523
31925,2943.39963,6,0.026503927127508885,0.000010222870065181433,0.0037314593710982523
31927,3157.701073,7,0.022772467756410633,-0.00001741219899811056,-0.0037314593710982523
31928,3550.843301,7,0.022772467756410633,0,0
31929,3898.848903,7,0.022772467756410633,0,0
31930,4299.806655,7,0.022772467756410633,0,0
31931,4792.854448,6,0.026503927127508885,0.00000756814942501579,0.0037314593710982523
31932,5315.687457,7,0.022772467756410633,-0.0000071370003554964,-0.0037314593710982523
31933,5866.033228,8,0.01996203441809013,-0.000005106668364533509,-0.0028104333383205046
31934,6404.671086,6,0.026503927127508885,0.000012145252347670586,0.006541892709418757
